,metric,dataset1,dataset2,statistic,pvalue,sig,best_alg1,mean_dataset1,std_dataset1,best_alg2,mean_dataset2,std_dataset2
24,FN,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,30.5,0.073845,,LCS_QRF,68.8,2.859681,LCS_QRF,66.1,3.414023
25,FN,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,8.5e-05,*,LCS_QRF,68.8,2.859681,LCS_QRF,30.3,3.164034
26,FN,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,8.7e-05,*,LCS_QRF,66.1,3.414023,LCS_QRF,30.3,3.164034
27,FP,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,17.0,0.006813,*,logistic_regression,91.2,8.599742,decision_tree,117.7,24.376902
28,FP,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,8.8e-05,*,logistic_regression,91.2,8.599742,SVM,23.3,7.528465
29,FP,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9e-05,*,decision_tree,117.7,24.376902,SVM,23.3,7.528465
30,ROC_AUC,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,29.0,0.060612,,LGB,0.721569,0.033486,random_forest,0.745943,0.02652
31,ROC_AUC,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,3.0,0.00022,*,LGB,0.721569,0.033486,SVM,0.579494,0.068052
32,ROC_AUC,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9.1e-05,*,random_forest,0.745943,0.02652,SVM,0.579494,0.068052
33,PRC_AUC,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,18.0,0.008629,*,logistic_regression,0.374405,0.024516,random_forest,0.411426,0.028673
34,PRC_AUC,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,16.0,0.005665,*,logistic_regression,0.374405,0.024516,decision_tree,0.455386,0.087274
35,PRC_AUC,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,40.0,0.236338,,random_forest,0.411426,0.028673,decision_tree,0.455386,0.087274
36,PRC_APS,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,15.0,0.004554,*,logistic_regression,0.379463,0.024556,random_forest,0.417225,0.027585
37,PRC_APS,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,14.0,0.003642,*,logistic_regression,0.379463,0.024556,logistic_regression,0.461893,0.07423
38,PRC_APS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,38.0,0.192337,,random_forest,0.417225,0.027585,logistic_regression,0.461893,0.07423
